optimizers,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,D_11_std,D_11H_std,D_14_std,SE_T11_std,SE_T11H_std,SE_T14_std,BM_T11_std,BM_T11H_std,BM_T14_std,error_D_11,error_D_11_std,error_D_11H,error_D_11H_std,error_D_14,error_D_14_std,error_SE_T11,error_SE_T11_std,error_SE_T11H,error_SE_T11H_std,error_SE_T14,error_SE_T14_std,error_BM_T11,error_BM_T11_std,error_BM_T11H,error_BM_T11H_std,error_BM_T14,error_BM_T14_std,manhattan_distance
NSGA2,4.690245022003577,0.3451625400948365,3.488648148503131,0.0882259180396674,3.488648148503131,0.0882259180396674,100.0,100.0,350.0,2.412211722846442,2.450837128589263,2.300886916354557,663.6760975854683,322.9033598814754,598.8736090582875,70.57702447472147,52.05423555210421,40.78319620021602,0.0013049132262682,0.0032114885559027,0.0065428398730401,16.89554200976893,14.107112576513986,21.86938717253617,,,,1.9426128924210588,0.0530452531003365,2.5454865518520102,0.1343719061047161,3.1787854867514307,0.2934008911677217,2.4005738844899622,2.4846385308483723,0.6451200364691047,4.340650023542765,5.689195423891739,3.443997979926956,0.5957401764486352,,5.954407313271529,,13.22724212719996,,36.17916389279543
BO,4.696238,0.340077,3.1175938,0.121682875,3.1175938,0.121682875,100.0,100.0,350.0,2.50695,2.5626292259675405,2.416758302122347,617.1393527990614,326.49739577499406,583.1481492344797,68.20909253268519,54.95732184378994,46.87121445209289,0.0014367333607875,0.0204972213153423,0.0034786893169134,17.570706211396164,17.523224670885185,36.10044252715284,,,,1.9085365853658465,0.0584037951539668,7.222980166005873,0.8576243228176715,8.374811754365332,0.1559950366328913,9.244212823667445,2.5839273840288475,0.4607371615366341,5.391761437195441,8.165645789845723,5.685109059394147,3.9308555877673377,,0.709445630009142,,0.2740118040576743,,40.291237302621006
NSGA2,4.5366578840923735,0.3484796320840833,3.488702969854117,0.0878007557297441,3.488702969854117,0.0878007557297441,100.0,100.0,350.0,2.4368692384519357,2.482148714107366,2.351027290886392,652.0922858575451,317.56312371106674,580.3780817858544,67.62461349091731,51.9109133916116,44.45753336516796,0.0013564242678157,0.0043670806002881,0.004916689590215,17.540531424125067,16.0232448229229,24.277595142181443,,,,0.9402748596774272,0.0551391978786903,3.855594732525775,0.1827230376689607,5.427232775174533,0.2204793538213039,4.104075609184543,2.57948991531251,2.288269627364081,4.93022917628397,8.601876884117415,3.8232433294773926,4.7540655057502645,,6.2133452726077705,,5.409503478366039,,41.59423874476785
,4.617613454097934,0.3400638142736948,3.66113046722053,0.1104956807871078,3.66113046722053,0.1104956807871078,100.0,100.0,350.0,2.327322734082397,2.3771798626716607,2.209164918851436,707.2112188590761,326.0593124140078,648.7106354346647,66.45270781804172,54.89081942481509,35.37400568259432,0.0011781750253886,0.0023611406366663,0.0098457472303861,17.075372619219333,15.638412925194157,29.815071513284355,,,,5.393384793398487,0.0478932937149841,0.5364074195957916,0.0987924952580078,0.9343085716844955,0.4415133287168682,4.0016498322170735,2.5110842087087257,0.3259422812331755,4.811819361598202,2.1591551865613714,4.695286852485725,6.404636875997583,,0.829594535112754,,24.736158122139734,,45.32123761794047
,4.619386,0.350607,3.3076475,0.13442522,3.3076475,0.13442522,100.0,100.0,350.0,2.442977702871411,2.450993957553059,2.363238052434457,669.4118388119637,327.5128730057611,589.4461653713342,70.94347130647131,46.65543160249201,41.77552740090295,0.0013081467679906,0.0042313596152059,0.0049631247417576,17.26129906113888,17.52550221894069,19.45685632546543,,,,0.6919632979101284,0.0531766978857967,2.5520484331823816,0.1770443353642663,5.974800557598977,0.2225616476124515,1.5570825276524027,2.538426332520424,0.7731916940803365,5.39246222121252,7.173832224986733,3.0640718622780208,0.0796178782094234,,15.70834398827099,,11.11589914701501,,45.62677974890639
,4.477201,0.21748465,3.6206362,0.1255734,3.6206362,0.1255734,100.0,100.0,350.0,2.3474823096129835,2.410076404494382,2.244410299625468,688.2032526786967,324.9833796794335,605.2038754606824,69.34701141013534,52.59789157095285,34.09518266765134,0.0012667050896005,0.0025919697251665,0.005390231132346,16.69921567123939,15.394931352665278,23.48167148733436,,,,4.573889853130749,0.0514920768130313,0.8400169244511285,0.1084506161157531,0.6462017769268272,0.2417144005536338,1.2063606880436302,2.455767010476381,0.0051139447896975,4.73690195466624,4.692303077057888,3.6979010216274575,2.328152943471356,,4.972192283734697,,27.457058153933318,,46.72128964553929
NSGA2,4.523883034611105,0.3390456588727402,3.483297230951495,0.129213317029563,3.483297230951495,0.129213317029563,100.0,100.0,350.0,2.3936641448189766,2.4449304744069917,2.303820911360799,695.0020688993155,316.074516450437,579.8367380432686,69.78375403898448,49.21976289912804,39.96644029832116,0.001369629073509,0.0043575576329701,0.0054171471544885,17.512695156355296,18.169763909826752,23.313295208675505,,,,2.696579478903389,0.0556759785979289,2.2983462094975384,0.1823245871535639,3.310354769542548,0.2429213970622661,2.2061866028405195,2.5753963465228376,2.746302630634773,5.590696587639001,8.687127867201793,3.671385072232362,1.7130224803035448,,11.075405782966502,,14.96502064186987,,49.69834646376047
NSGA2,4.542466170004921,0.3539888257800138,3.5859911439005705,0.1314530890111229,3.5859911439005705,0.1314530890111229,100.0,100.0,350.0,2.3462397627965044,2.4039937827715354,2.243719051186017,718.7498672702644,357.1290605417885,640.866910143508,67.87104552479701,55.80169507329799,36.27591472583618,0.0012199058646732,0.0022794791176391,0.0055262405710054,16.993560557333804,21.834710100511284,22.362122110983357,,,,4.624399886320959,0.0495896692956603,0.5855139234952004,0.0953756952987075,0.615204089059069,0.247813478520424,5.698509892685943,2.499053023137324,9.885864782088762,6.718372338618856,0.9239228572453534,3.521594033225725,4.406978134088716,,0.8160705931309679,,22.81720271098685,,50.373666869101825
NSGA2,4.695828644278459,0.3501368931212056,3.488717376737732,0.130203439807431,3.488717376737732,0.130203439807431,100.0,100.0,350.0,2.3651751810237203,2.402469837702871,2.259958377028714,709.0084872587241,323.22140840154293,603.047714852003,66.42989142111458,52.68948611680196,35.72720043356656,0.0012280433617912,0.0054225307374533,0.0094042202155559,16.911761057789185,19.18836637035257,22.99627973314628,,,,3.8546674380601504,0.049920461861431,0.5217505315008749,0.2268841312742,1.3434249788661066,0.4217139110114786,4.265954008635902,2.4870236849689977,0.547258953371406,5.904112729339252,5.03185592881843,3.621461375298627,6.4367726463175,,4.806709816075957,,23.98467992858179,,50.79307423022812
,4.45735218454061,0.3027663002196751,3.607803609110443,0.1212371823893359,3.607803609110443,0.1212371823893359,100.0,100.0,350.0,2.3575393508114857,2.420990262172285,2.2566951685393257,697.9909540407606,312.3140088797552,589.1121447642441,67.90758324479606,54.98351780622633,34.92586780404923,0.001237003366215,0.002352715251827,0.0060807582999827,16.88313011170593,15.34788312530524,22.39794210658273,,,,4.165067040183507,0.0502846896835402,1.296663689216939,0.0984399686956935,1.19709275961102,0.2726797443938449,2.6457285354059685,2.4828132517214607,3.9033818831522487,4.722425577016996,7.226433895394625,3.5272349774146026,4.355516556625271,,0.6621177845956105,,25.68964297010801,,51.1416451142932
