optimizer,sc_r,sc_eps,oc_r,oc_eps,ocx_r,ocx_eps,sos_ktheta,oso_ktheta,so_kr,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14,error_D_11,error_D_11H,error_D_14,error_SE_T11,error_SE_T11H,error_SE_T14,error_BM_T11,error_BM_T11H,error_BM_T14
pcff,4.66272,0.19291879,3.537951,0.12879516,3.537951,0.12879516,100.0,100.0,350.0,2.500030561797753,2.473507315855181,2.313831298377029,1002.0291954489269,305.36712337769814,1028.3332265710949,76.92016497053149,48.78483572528589,39.19307189053598,1.63,3.49,3.76,47.36,6.04,61.94,8.34,11.86,16.61
pcff,4.8,0.039999995,3.481866,0.15776928,3.481866,0.15776928,100.0,100.0,350.0,2.5118102746566793,2.4906386641697877,2.3285979900124847,971.1889653248935,257.9338870358261,949.9383318523732,76.16404926478296,42.77669418732843,36.62657880848543,2.11,4.21,4.42,42.82,20.64,49.6,7.27,22.72,22.07
pcff,4.783425252,0.26020483,3.615604502,0.038971308,3.615604502,0.038971308,100.0,100.0,350.0,2.5970638826466916,2.441352808988764,2.356550799001248,933.5375234637119,213.41541806242014,1130.2044067258194,79.27470368370005,31.325361764555797,49.117544400893024,5.57,2.15,5.67,37.28,34.33,77.98,11.65,43.4,4.51
pcff,4.5145568,0.334787397,3.705772483,0.080167756,3.705772483,0.080167756,100.0,100.0,350.0,2.498379275905118,2.518859900124844,2.3238406741573034,995.4326060179195,291.76700403572454,1056.278810955253,79.65485532833159,47.719423584627656,47.16508870648547,1.56,5.39,4.21,46.39,10.23,66.34,12.19,13.79,0.35
pcff,4.539837965,0.35012039,3.540883449,0.129731503,3.540883449,0.129731503,100.0,100.0,350.0,2.5042865168539326,2.4818226466916355,2.334037540574282,1025.743782209225,172.98221761033582,913.7583049282118,81.12724521202276,39.088915662541574,49.685536667823,1.8,3.84,4.67,50.84,46.77,43.9,14.26,29.38,5.71
pcff2,4.5145568,0.334787397,3.705772483,0.080167756,3.705772483,0.080167756,100.0,100.0,350.0,2.498245218476904,2.4728848189762798,2.301724606741573,993.495368847523,365.0771789228025,1063.5505737146866,78.74921447189078,50.11225455014739,41.37195622206821,1.55,3.47,3.22,46.1,12.33,67.49,10.91,9.46,11.97
pcff2,4.617613454,0.340063814,3.661130467,0.110495681,3.661130467,0.110495681,100.0,100.0,350.0,2.4604936828963795,2.4791851435705365,2.2649117727840196,1036.812967770166,373.0406842198941,1126.7606374766456,78.78188303917022,50.18951035637674,39.26947500870967,0.02,3.73,1.57,52.47,14.78,77.44,10.96,9.32,16.45
pcff2,4.477201,0.21748465,3.6206362,0.1255734,3.6206362,0.1255734,100.0,100.0,350.0,2.484010224719101,2.461469787765293,2.3060167665418225,1011.2587894546534,394.93303632224485,1058.167501733209,76.46381472175582,42.86807029664918,42.566227742848255,0.98,2.99,3.41,48.71,21.52,66.64,7.7,22.55,9.43
pcff2,4.457352185,0.3027663,3.607803609,0.121237182,3.607803609,0.121237182,100.0,100.0,350.0,2.4944719725343325,2.5333277278401996,2.3276691760299624,1017.4193269879989,376.348263424715,1079.9080593385138,76.53001561406184,49.21462863686796,48.142991940678286,1.4,6.0,4.38,49.62,15.8,70.06,7.79,11.08,2.43
pcff2,4.5,0.22,3.65,0.11,3.65,0.11,100.0,100.0,350.0,2.4864604119850187,2.46261936329588,2.3106352184769037,1001.7870442857152,342.9743380014353,1049.5702877109634,77.27453280483923,47.50446967440628,44.51872228420555,1.08,3.04,3.62,47.32,5.53,65.29,8.84,14.17,5.28
pcff1,4.54246617,0.353988826,3.585991144,0.131453089,3.585991144,0.131453089,100.0,100.0,350.0,2.4814486516853935,2.4963487390761547,2.290059288389513,1040.282355504054,387.6576518611276,1117.1465294589448,77.04543791795267,53.64774259566319,40.774663524310505,0.87,4.45,2.69,52.98,19.28,75.93,8.51,3.08,13.25
pcff1,4.575,0.265,3.65,0.11,3.7,0.12,100.0,100.0,350.0,2.4730661173533086,2.4423409987515603,2.3033725218476904,1022.6725964466921,312.524704931348,1113.0797013151812,78.05865530309332,44.803372024525565,49.528387297164095,0.53,2.19,3.29,50.39,3.84,75.29,9.94,19.05,5.38
pcff1,4.695828644,0.350136893,3.488717377,0.13020344,3.488717377,0.13020344,100.0,100.0,350.0,2.502240599250936,2.4717161797752807,2.3345385393258424,1028.776878611013,360.7973337744541,1137.648472281019,78.30717993046164,47.5832062338994,53.23784640799779,1.72,3.42,4.69,51.29,11.01,79.16,10.29,14.03,13.27
pcff1,4.54250886,0.357622178,3.679453595,0.091791874,3.679453595,0.091791874,100.0,100.0,350.0,2.486876791510612,2.460706092384519,2.2912178401997507,1012.9295369660814,354.5156705807458,1078.5423527683208,77.51631906877131,39.02107852494132,42.323156746964074,1.09,2.96,2.75,48.96,9.08,69.85,9.18,29.5,9.95
pcff1,4.66272,0.19291879,3.537951,0.12879516,3.537951,0.12879516,100.0,100.0,350.0,2.500065093632959,2.4735288014981274,2.3056843945068666,1002.1110571267151,353.02155746512227,1072.5402842856288,78.43087795479039,50.64544940502094,38.74299732357885,1.63,3.49,3.39,47.37,8.62,68.9,10.47,8.5,17.57
